id,legacy_plan_id,model_name,manufacturer,classification,detail_url,quote_url,floorplan_url,photo_count,floorplan_count,matterport
floorplan-226552,226552,Solution / The Choice SLC28724A,Clayton Sulphur Springs,Double Wide,https://www.texashomeoutlet.com/plan/226552/solution/the-choice-slc28724a/,https://www.texashomeoutlet.com/quote/floorplan/226552/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2025/floorplan/226552/floor-plans-SMALL%20%288%29.jpg,1,1,True
floorplan-226580,226580,Premier / The Iberville 1676H32001,Champion Homes,Single Wide,https://www.texashomeoutlet.com/plan/226580/premier/the-iberville-1676h32001/,https://www.texashomeoutlet.com/quote/floorplan/226580/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3373/floorplan/226580/025CHPR-1676H32001%20Iberville%20floor-plans-SMALL.jpg,1,1,True
floorplan-226583,226583,Premier / The Loyola 1676H32008,Champion Homes,Single Wide,https://www.texashomeoutlet.com/plan/226583/premier/the-loyola-1676h32008/,https://www.texashomeoutlet.com/quote/floorplan/226583/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3373/floorplan/226583/The%20Loyola%201676H32008%20floor-plans-SMALL.jpg,1,1,True
floorplan-226992,226992,Contemporary Cabin / A700,Skyline Homes,Single Wide,https://www.texashomeoutlet.com/plan/226992/contemporary-cabin/a700/,https://www.texashomeoutlet.com/quote/floorplan/226992/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2045/floorplan/226992/A700B%20floor-plans.jpg,1,1,True
floorplan-226993,226993,Contemporary Cabin / A701,Skyline Homes,Single Wide,https://www.texashomeoutlet.com/plan/226993/contemporary-cabin/a701/,https://www.texashomeoutlet.com/quote/floorplan/226993/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/2045/floorplan/226993/701%20floor-plans-SMALL.jpg,1,1,True
floorplan-226994,226994,Premier / The Carondelet 1676-H-32004,Champion Homes,Single Wide,https://www.texashomeoutlet.com/plan/226994/premier/the-carondelet-1676-h-32004/,https://www.texashomeoutlet.com/quote/floorplan/226994/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3373/floorplan/226994/025CHPR-1676H32004%20Carondelet%20floor-plans-SMALL.jpg,1,1,True
floorplan-227079,227079,New Vision / The Whitehaven,New Vision Manufacturing,Double Wide,https://www.texashomeoutlet.com/plan/227079/new-vision/the-whitehaven/,https://www.texashomeoutlet.com/quote/floorplan/227079/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/227079/Whitehaven%20floor-plans.jpg,1,1,True
floorplan-227080,227080,New Vision / The Sherman,New Vision Manufacturing,Double Wide,https://www.texashomeoutlet.com/plan/227080/new-vision/the-sherman/,https://www.texashomeoutlet.com/quote/floorplan/227080/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3335/floorplan/227080/sherman%20floor-plans-SMALL.jpg,1,1,True
floorplan-227224,227224,Premier / 0250SKPLH-1676-32003,Champion Homes,Single Wide,https://www.texashomeoutlet.com/plan/227224/premier/0250skplh-1676-32003/,https://www.texashomeoutlet.com/quote/floorplan/227224/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3373/floorplan/227224/0250SKPLH-1676-32003%20floor-plans.jpg,1,1,True
floorplan-227253,227253,Nexus TXR / Gabriella 9576,Meridian Homes,Single Wide,https://www.texashomeoutlet.com/plan/227253/nexus-txr/gabriella-9576/,https://www.texashomeoutlet.com/quote/floorplan/227253/dealer/3522,https://d132mt2yijm03y.cloudfront.net/manufacturer/3311/floorplan/227253/LAN-9576-33962-26-02-942x585.jpg,0,2,True
